,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0597,3,597,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Under stake IC.3 In shell. Locality - Bluehill Falls, ME"
3_0598,3,598,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 In pebbles below shell Locality - Bluehill Falls, ME"
3_0599,3,599,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 In shells and in mixed shell and pebble. Locality - Bluehill Falls, ME"
3_0600,3,600,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.2 Bluehill Falls, Me., taken from scrap."
3_0603,3,603,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.4 Excav Date - 00/00/36
3_0604,3,604,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.2
3_0605,3,605,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - ID.2 Just under sod. Locality - Bluehill Falls, ME"
3_0606,3,606,Nevin Shell Heap.,Me.152/1,Provenience Description - In shells (below shells cf. R.H. 5E p.2) on level of hearth stones. 180cm from ID.2/5E; 210cm from ID.1/5E Section number - 5E Trench Number - ID.2 Excav Date - 00/00/36
3_0607,3,607,Nevin Shell Heap.,Me.152/1,"Provenience Description - 24cm from ID/4E, 310cm from ID/3E Section number - 4E Trench Number - ID.1 Excav Date - 00/00/36"
3_0608,3,608,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.2
3_0609,3,609,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.2 Excav Date - 00/00/36
3_0610,3,610,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36
3_0611,3,611,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.2 Excav Date - 00/00/36
3_0612,3,612,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36
3_0613,3,613,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.1 Excav Date - 00/00/37
3_0614,3,614,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.1 Excav Date - 00/00/36
3_0615,3,615,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - ID.1
3_0616,3,616,Nevin Shell Heap.,Me.152/1,Section number - 5E Trench Number - IC.4
3_0617,3,617,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Bottom of shells."
3_0618,3,618,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 In upper level of shell."
3_0619,3,619,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Provenience Description - Just beneath shells on floor of shell heap Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36"
3_0620,3,620,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36 Just under sod in shells."
3_0621,3,621,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 In burned shell beneath hearth 2."
3_0622,3,622,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 In charcoal & pebbles under East side of Hearth 2"
3_0623,3,623,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 Excav Date - 00/00/36 Under South end hearth 2. In pebbles and black earth."
3_0624,3,624,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 In pebbles and black soil under and to south of hearth 2."
3_0625,3,625,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 Just under sod."
3_0626,3,626,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - Picked up from surface below shells - not in-situ Section number - 5E Trench Number - IC.4"
3_0627,3,627,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - Picked up from surface below shells- not in-situ Section number - 5E Trench Number - ID.1"
3_0628,3,628,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 Excav Date - 00/00/36 In humus below shell."
3_0629,3,629,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - In black humus well below shell. Section number - 5E Trench Number - IC.4"
